best_metric,data_fraction,final_metric,head_lr,method,method_group,metric_name,module_lr,num_epochs_recorded,output_dir,rank,results_path,run_id,seed,task
0.630705998012026,1.0,0.605712540622093,0.001,kasa,kasa,matthews_correlation,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s0/results.json,cola_lr1e-3_s0,0,cola
0.6306425398187112,1.0,0.6258269726983982,0.001,kasa,kasa,matthews_correlation,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s123/results.json,cola_lr1e-3_s123,123,cola
0.609298672684182,1.0,0.5961744294806522,0.001,kasa,kasa,matthews_correlation,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s42/results.json,cola_lr1e-3_s42,42,cola
0.6041033887691281,1.0,0.5829211024374039,0.0001,kasa,kasa,matthews_correlation,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s0/results.json,cola_lr1e-4_s0,0,cola
0.575435670477595,1.0,0.5625821583056989,0.0001,kasa,kasa,matthews_correlation,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s123/results.json,cola_lr1e-4_s123,123,cola
0.6044611120211493,1.0,0.5829638006957694,0.0001,kasa,kasa,matthews_correlation,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s42/results.json,cola_lr1e-4_s42,42,cola
0.6235130412994164,1.0,0.598349211554662,0.003,kasa,kasa,matthews_correlation,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s0/results.json,cola_lr3e-3_s0,0,cola
0.48297992492083974,1.0,0.0,0.003,kasa,kasa,matthews_correlation,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s123/results.json,cola_lr3e-3_s123,123,cola
0.38708451899247537,1.0,0.0,0.003,kasa,kasa,matthews_correlation,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s42/results.json,cola_lr3e-3_s42,42,cola
0.6112042583542696,1.0,0.6007621359415751,0.0003,kasa,kasa,matthews_correlation,0.0003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s0/results.json,cola_lr3e-4_s0,0,cola
0.6158979909555603,1.0,0.5956578673520049,0.0003,kasa,kasa,matthews_correlation,0.0003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s123/results.json,cola_lr3e-4_s123,123,cola
0.6251570531400433,1.0,0.5807606001872874,0.0003,kasa,kasa,matthews_correlation,0.0003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s42/results.json,cola_lr3e-4_s42,42,cola
0.8897058823529411,1.0,0.8799019607843137,0.001,kasa,kasa,accuracy,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s0/results.json,mrpc_lr1e-3_s0,0,mrpc
0.8970588235294118,1.0,0.8897058823529411,0.001,kasa,kasa,accuracy,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s123/results.json,mrpc_lr1e-3_s123,123,mrpc
0.8872549019607843,1.0,0.8700980392156863,0.001,kasa,kasa,accuracy,0.001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s42/results.json,mrpc_lr1e-3_s42,42,mrpc
0.8651960784313726,1.0,0.8651960784313726,0.0001,kasa,kasa,accuracy,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s0/results.json,mrpc_lr1e-4_s0,0,mrpc
0.8823529411764706,1.0,0.8651960784313726,0.0001,kasa,kasa,accuracy,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s123/results.json,mrpc_lr1e-4_s123,123,mrpc
0.8700980392156863,1.0,0.8553921568627451,0.0001,kasa,kasa,accuracy,0.0001,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s42/results.json,mrpc_lr1e-4_s42,42,mrpc
0.6838235294117647,1.0,0.6838235294117647,0.003,kasa,kasa,accuracy,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s0/results.json,mrpc_lr3e-3_s0,0,mrpc
0.8308823529411765,1.0,0.6838235294117647,0.003,kasa,kasa,accuracy,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s123/results.json,mrpc_lr3e-3_s123,123,mrpc
0.8357843137254902,1.0,0.6838235294117647,0.003,kasa,kasa,accuracy,0.003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s42,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-3_s42/results.json,mrpc_lr3e-3_s42,42,mrpc
0.8921568627450981,1.0,0.8774509803921569,0.0003,kasa,kasa,accuracy,0.0003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-4_s0,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-4_s0/results.json,mrpc_lr3e-4_s0,0,mrpc
0.8946078431372549,1.0,0.8946078431372549,0.0003,kasa,kasa,accuracy,0.0003,20,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-4_s123,8,outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr3e-4_s123/results.json,mrpc_lr3e-4_s123,123,mrpc
